Row ID,Old URL,New URL,Proposed retained path,Action,Redirect code,Canonical target,Priority,Reason,Link-equity evidence,Content-equivalence evidence,QA status,Owner,Approval status
URL-028,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kansas/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kansas/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-029,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kentucky/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-kentucky/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-030,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-louisiana/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-louisiana/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-031,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-maine/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-maine/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-032,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-maryland/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-maryland/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-033,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-massachusetts/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-massachusetts/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-034,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-michigan/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-michigan/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-035,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-minnesota/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-minnesota/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-036,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-mississippi/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-mississippi/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-037,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-missouri/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-missouri/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-038,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-montana/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-montana/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-039,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-nebraska/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-nebraska/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-040,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-nevada/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-nevada/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-041,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-hampshire/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-hampshire/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-042,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-jersey/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-jersey/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-043,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-mexico/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-mexico/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-044,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-york/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-york/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-045,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-north-carolina/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-north-carolina/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-046,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-north-dakota/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-north-dakota/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-047,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-ohio/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-ohio/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-048,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-oklahoma/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-oklahoma/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-049,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-oregon/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-oregon/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-050,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-pennsylvania/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-pennsylvania/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-051,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-rhode-island/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-rhode-island/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-052,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-south-carolina/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-south-carolina/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-053,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-south-dakota/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-south-dakota/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-054,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-tennessee/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-tennessee/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-055,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-texas/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-texas/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-056,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-utah/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-utah/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-057,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-vermont/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-vermont/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-058,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-virginia/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-virginia/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-059,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-washington/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-washington/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-060,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-west-virginia/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-west-virginia/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-061,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-winconsin/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-winconsin/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-062,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-wyoming/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-wyoming/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-063,https://www.temporary123.com/equipment-rental/shower-trailer/portable-shower-trailers-in-new-jersey-usa/,,/equipment-rental/shower-trailer/portable-shower-trailers-in-new-jersey-usa/,Escalate for manual review,,,E,Insufficient content and backlink source evidence,2 referring domains; Top DR 68; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-064,https://www.temporary123.com/equipment-rental/sleeper-trailers/,,/equipment-rental/sleeper-trailers/,Escalate for manual review,,,E,Insufficient content and backlink source evidence,2 referring domains; Top DR 59; 344 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-065,https://temporary123.com/containerized-shower-trailers/,,/containerized-shower-trailers/,Escalate for manual review,,,C,Review commercial relevance and equivalent content,1 referring domains; Top DR 66; 1 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-066,https://temporary123.com/emergency-migrant-containerized-living-spaces/,,/emergency-migrant-containerized-living-spaces/,Escalate for manual review,,,C,Review commercial relevance and equivalent content,1 referring domains; Top DR 61; 1 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-067,https://temporary123.com/equipment-rental/breakroom-trailer/,,/equipment-rental/breakroom-trailer/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 56; 178 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-068,https://temporary123.com/equipment-rental/command-center-trailers/,,/equipment-rental/command-center-trailers/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 56; 178 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-069,https://temporary123.com/equipment-rental/decontamination-trailers/,,/equipment-rental/decontamination-trailers/,Escalate for manual review,,,E,Insufficient content and backlink source evidence,1 referring domains; Top DR 56; 190 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-070,https://temporary123.com/equipment-rental/dump-rental/,,/equipment-rental/dump-rental/,Escalate for manual review,,,C,Review commercial relevance and equivalent content,1 referring domains; Top DR 56; 105 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-071,https://temporary123.com/equipment-rental/generator-trailers/,,/equipment-rental/generator-trailers/,Escalate for manual review,,,C,Review commercial relevance and equivalent content,1 referring domains; Top DR 56; 107 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-072,https://temporary123.com/equipment-rental/mobile-office-trailers/,,/equipment-rental/mobile-office-trailers/,Escalate for manual review,,,C,Review commercial relevance and equivalent content,1 referring domains; Top DR 56; 177 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-073,https://temporary123.com/equipment-rental/multi-trailer/,,/equipment-rental/multi-trailer/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 56; 178 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-074,https://temporary123.com/equipment-rental/port-potties-and-port-johns/,,/equipment-rental/port-potties-and-port-johns/,Escalate for manual review,,,C,Review commercial relevance and equivalent content,1 referring domains; Top DR 56; 107 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-075,https://temporary123.com/equipment-rental/ramp-rental/,,/equipment-rental/ramp-rental/,Escalate for manual review,,,C,Review commercial relevance and equivalent content,1 referring domains; Top DR 56; 111 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-076,https://temporary123.com/equipment-rental/restroom-trailers/,,/equipment-rental/restroom-trailers/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 56; 178 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-077,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alberta-ca/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alberta-ca/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-078,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arkansas/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arkansas/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-079,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-delaware/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-delaware/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-080,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-district-of-columbia/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-district-of-columbia/,Escalate for manual review,,,E,Insufficient content and backlink source evidence,1 referring domains; Top DR 10; 1 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-081,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-indiana/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-indiana/,Escalate for manual review,,,E,Insufficient content and backlink source evidence,1 referring domains; Top DR 10; 4 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-082,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-louisiana/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-louisiana/,Escalate for manual review,,,E,Insufficient content and backlink source evidence,1 referring domains; Top DR 10; 4 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-083,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-maryland/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-maryland/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-084,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-massachusetts/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-massachusetts/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-085,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-michigan/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-michigan/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-086,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-mississippi/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-mississippi/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-087,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-nevada/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-nevada/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-088,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-hampshire/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-hampshire/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-089,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-jersey/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-new-jersey/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-090,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-north-dakota/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-north-dakota/,Escalate for manual review,,,E,Insufficient content and backlink source evidence,1 referring domains; Top DR 10; 3 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-091,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-oklahoma/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-oklahoma/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-092,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-oregon/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-oregon/,Escalate for manual review,,,C,Manual quality review before any migration decision,1 referring domains; Top DR 10; 2 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
