Row ID,Original URL,Normalized URL,Host variant,Scheme,Path,Page type,Topic/service,State/city inferred from slug,Export HTTP status,Live HTTP status,Canonical status,Page title,Referring domains,Top DR,UR,Total links,Dofollow,Nofollow,New links,Lost links,Redirect count (export metric),First seen,Last seen,Variant group size,Estimated business importance,Priority,Migration risk,Recommended action,Destination URL,Reason,Review flags,Missing data,Review status
URL-063,https://www.temporary123.com/equipment-rental/shower-trailer/portable-shower-trailers-in-new-jersey-usa/,https://temporary123.com/equipment-rental/shower-trailer/portable-shower-trailers-in-new-jersey-usa/,www.temporary123.com,https,/equipment-rental/shower-trailer/portable-shower-trailers-in-new-jersey-usa/,Service/location candidate,Other,New Jersey Usa,,Not verified,Unknown,,2,68,,2,1,1,0,0,0,2025-12-25 01:59:14,2026-07-10 22:36:17,1,Unverified,E,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Insufficient content and backlink source evidence,Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-064,https://www.temporary123.com/equipment-rental/sleeper-trailers/,https://temporary123.com/equipment-rental/sleeper-trailers/,www.temporary123.com,https,/equipment-rental/sleeper-trailers/,Service/location candidate,Other,Unknown,,Not verified,Unknown,,2,59,,344,344,0,0,0,0,2023-09-05 05:40:09,2026-07-01 20:24:51,1,Unverified,E,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Insufficient content and backlink source evidence,Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-065,https://temporary123.com/containerized-shower-trailers/,https://temporary123.com/containerized-shower-trailers/,temporary123.com,https,/containerized-shower-trailers/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,Containerized Shower Trailers – Temporary 123,1,66,0,1,1,0,1,0,0,2026-08-19 06:54:30,2026-08-19 06:54:30,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Review commercial relevance and equivalent content,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-066,https://temporary123.com/emergency-migrant-containerized-living-spaces/,https://temporary123.com/emergency-migrant-containerized-living-spaces/,temporary123.com,https,/emergency-migrant-containerized-living-spaces/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,Emergency migrant containerized living Spaces: Single Occupancy Room Rentals – Temporary 123,1,61,0,1,1,0,1,0,0,2026-08-20 14:41:38,2026-09-03 14:42:54,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Review commercial relevance and equivalent content,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-067,https://temporary123.com/equipment-rental/breakroom-trailer/,https://temporary123.com/equipment-rental/breakroom-trailer/,temporary123.com,https,/equipment-rental/breakroom-trailer/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,Breakroom Trailer – Temporary 123,1,56,4.4,178,178,0,0,0,0,2026-04-10 07:27:54,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-068,https://temporary123.com/equipment-rental/command-center-trailers/,https://temporary123.com/equipment-rental/command-center-trailers/,temporary123.com,https,/equipment-rental/command-center-trailers/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,COMMAND CENTER TRAILERS – Temporary 123,1,56,4.4,178,178,0,0,0,0,2026-04-10 07:27:54,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-069,https://temporary123.com/equipment-rental/decontamination-trailers/,https://temporary123.com/equipment-rental/decontamination-trailers/,temporary123.com,https,/equipment-rental/decontamination-trailers/,Service/location candidate,Other,Unknown,403,Not verified,Unknown,,1,56,4.4,190,190,0,0,0,0,2026-04-10 07:28:29,2026-04-17 15:33:23,2,Unverified,E,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Insufficient content and backlink source evidence,Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-070,https://temporary123.com/equipment-rental/dump-rental/,https://temporary123.com/equipment-rental/dump-rental/,temporary123.com,https,/equipment-rental/dump-rental/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,DUMP RENTAL – Temporary 123,1,56,0,105,105,0,0,0,0,2026-04-10 06:09:17,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Review commercial relevance and equivalent content,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-071,https://temporary123.com/equipment-rental/generator-trailers/,https://temporary123.com/equipment-rental/generator-trailers/,temporary123.com,https,/equipment-rental/generator-trailers/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,Generator Trailers Rental in USA – Temporary 123,1,56,0,107,107,0,0,0,0,2026-04-10 07:27:54,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Review commercial relevance and equivalent content,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-072,https://temporary123.com/equipment-rental/mobile-office-trailers/,https://temporary123.com/equipment-rental/mobile-office-trailers/,temporary123.com,https,/equipment-rental/mobile-office-trailers/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,Mobile Office Trailers – Temporary 123,1,56,4.4,177,177,0,0,0,0,2026-04-10 06:09:17,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Review commercial relevance and equivalent content,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-073,https://temporary123.com/equipment-rental/multi-trailer/,https://temporary123.com/equipment-rental/multi-trailer/,temporary123.com,https,/equipment-rental/multi-trailer/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,MULTI-TRAILER – Temporary 123,1,56,4.4,178,178,0,0,0,0,2026-04-10 07:27:54,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-074,https://temporary123.com/equipment-rental/port-potties-and-port-johns/,https://temporary123.com/equipment-rental/port-potties-and-port-johns/,temporary123.com,https,/equipment-rental/port-potties-and-port-johns/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,Port Potties and Port Johns – Temporary 123,1,56,0,107,107,0,0,0,0,2026-04-10 07:27:54,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Review commercial relevance and equivalent content,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-075,https://temporary123.com/equipment-rental/ramp-rental/,https://temporary123.com/equipment-rental/ramp-rental/,temporary123.com,https,/equipment-rental/ramp-rental/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,RAMP RENTAL – Temporary 123,1,56,4.4,111,111,0,0,0,0,2026-04-10 07:28:29,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Review commercial relevance and equivalent content,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-076,https://temporary123.com/equipment-rental/restroom-trailers/,https://temporary123.com/equipment-rental/restroom-trailers/,temporary123.com,https,/equipment-rental/restroom-trailers/,Service/location candidate,Restroom trailers,Unknown,200,Not verified,Unknown,Restroom Trailers Rental in USA – Temporary 123,1,56,4.4,178,178,0,0,0,0,2026-04-10 07:27:54,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-097,https://temporary123.com/equipment-rental/shower-trailer/,https://temporary123.com/equipment-rental/shower-trailer/,temporary123.com,https,/equipment-rental/shower-trailer/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,Shower Trailer Rental in USA – Temporary 123,1,56,4.4,178,178,0,0,0,0,2026-04-10 07:27:54,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-098,https://temporary123.com/equipment-rental/stair-rental/,https://temporary123.com/equipment-rental/stair-rental/,temporary123.com,https,/equipment-rental/stair-rental/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,STAIR RENTAL – Temporary 123,1,56,0,107,107,0,0,0,0,2026-04-10 07:27:54,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Review commercial relevance and equivalent content,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-099,https://temporary123.com/equipment-rental/waste-container/,https://temporary123.com/equipment-rental/waste-container/,temporary123.com,https,/equipment-rental/waste-container/,Service/location candidate,Other,Unknown,200,Not verified,Unknown,WASTE CONTAINER – Temporary 123,1,56,0,105,105,0,0,0,0,2026-04-10 06:09:17,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Review commercial relevance and equivalent content,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-100,https://temporary123.com/equipment-rental/wastewater-and-freshwater-container/,https://temporary123.com/equipment-rental/wastewater-and-freshwater-container/,temporary123.com,https,/equipment-rental/wastewater-and-freshwater-container/,Service/location candidate,Other,Unknown,403,Not verified,Unknown,,1,56,0,107,107,0,0,0,0,2026-04-10 07:27:54,2026-04-17 15:33:23,2,Unverified,E,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Insufficient content and backlink source evidence,Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-102,https://temporary123.com/mobile-kitchen-trailer-rental/,https://temporary123.com/mobile-kitchen-trailer-rental/,temporary123.com,https,/mobile-kitchen-trailer-rental/,Service/location candidate,Mobile kitchens,Unknown,,Not verified,Unknown,,1,68,,1,1,0,1,0,0,2026-08-24 22:05:49,2026-08-24 22:05:49,1,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content; Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-103,https://temporary123.com/portable-dishwashing-trailer-rental/,https://temporary123.com/portable-dishwashing-trailer-rental/,temporary123.com,https,/portable-dishwashing-trailer-rental/,Service/location candidate,Other,Unknown,,Not verified,Unknown,,1,68,,1,1,0,1,0,0,2026-08-24 22:05:49,2026-08-24 22:05:49,1,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content; Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-105,https://temporary123.com/remote-workforce-house-company-in-alabama/,https://temporary123.com/remote-workforce-house-company-in-alabama/,temporary123.com,https,/remote-workforce-house-company-in-alabama/,Service/location candidate,Workforce housing,Alabama,200,Not verified,Unknown,Remote Workforce House Company in Alabama – Temporary 123,1,56,4.4,4494,4494,0,0,694,0,2026-04-09 03:29:00,2026-04-17 16:38:40,2,Unverified,C,High,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Possible sitewide pattern; source review required,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-106,https://temporary123.com/remote-workforce-housing-rentals-in-arizona/,https://temporary123.com/remote-workforce-housing-rentals-in-arizona/,temporary123.com,https,/remote-workforce-housing-rentals-in-arizona/,Service/location candidate,Workforce housing,Arizona,403,Not verified,Unknown,,1,56,4.4,2313,2313,0,0,0,0,2026-04-17 08:45:47,2026-04-17 16:38:40,2,Unverified,C,High,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Possible sitewide pattern; source review required; Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-107,https://temporary123.com/restroom-trailer-rental/,https://temporary123.com/restroom-trailer-rental/,temporary123.com,https,/restroom-trailer-rental/,Service/location candidate,Restroom trailers,Unknown,,Not verified,Unknown,,1,68,,1,1,0,1,0,0,2026-08-24 22:05:49,2026-08-24 22:05:49,1,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content; Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-109,https://temporary123.com/shower-trailer-rental/,https://temporary123.com/shower-trailer-rental/,temporary123.com,https,/shower-trailer-rental/,Service/location candidate,Other,Unknown,,Not verified,Unknown,,1,68,,1,1,0,1,0,0,2026-08-24 22:05:49,2026-08-24 22:05:49,1,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content; Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-110,https://temporary123.com/sleeper-trailer-rental/,https://temporary123.com/sleeper-trailer-rental/,temporary123.com,https,/sleeper-trailer-rental/,Service/location candidate,Other,Unknown,,Not verified,Unknown,,1,68,,1,1,0,1,0,0,2026-08-24 22:05:49,2026-08-24 22:05:49,1,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content; Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-111,https://temporary123.com/workforce-housing-shelters-in-colorado/,https://temporary123.com/workforce-housing-shelters-in-colorado/,temporary123.com,https,/workforce-housing-shelters-in-colorado/,Service/location candidate,Workforce housing,Colorado,403,Not verified,Unknown,,1,56,0,45,45,0,0,0,0,2026-04-17 11:03:56,2026-04-17 15:33:23,2,Unverified,E,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Insufficient content and backlink source evidence,Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-113,https://www.temporary123.com/containerized-shower-trailers/,https://temporary123.com/containerized-shower-trailers/,www.temporary123.com,https,/containerized-shower-trailers/,Service/location candidate,Other,Unknown,301,Not verified,Unknown,,1,66,4.6,1,1,0,0,0,0,2025-12-22 05:54:16,2026-08-19 06:54:30,2,Unverified,E,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Insufficient content and backlink source evidence,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-114,https://www.temporary123.com/emergency-migrant-containerized-living-spaces/,https://temporary123.com/emergency-migrant-containerized-living-spaces/,www.temporary123.com,https,/emergency-migrant-containerized-living-spaces/,Service/location candidate,Other,Unknown,301,Not verified,Unknown,,1,61,4.6,1,1,0,1,0,0,2026-08-20 14:41:38,2026-09-03 14:42:54,2,Unverified,E,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Insufficient content and backlink source evidence,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-115,https://www.temporary123.com/emergency-workforce-housing-in-california/,https://temporary123.com/emergency-workforce-housing-in-california/,www.temporary123.com,https,/emergency-workforce-housing-in-california/,Service/location candidate,Workforce housing,California,403,Not verified,Unknown,,1,56,4.8,88,88,0,0,0,0,2023-07-15 00:19:57,2026-04-17 15:33:23,1,Unverified,E,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Insufficient content and backlink source evidence,Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-116,https://www.temporary123.com/equipment-rental/breakroom-trailer/,https://temporary123.com/equipment-rental/breakroom-trailer/,www.temporary123.com,https,/equipment-rental/breakroom-trailer/,Service/location candidate,Other,Unknown,301,Not verified,Unknown,,1,56,4.6,343,343,0,0,0,0,2023-09-05 05:40:09,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-117,https://www.temporary123.com/equipment-rental/command-center-trailers/,https://temporary123.com/equipment-rental/command-center-trailers/,www.temporary123.com,https,/equipment-rental/command-center-trailers/,Service/location candidate,Other,Unknown,301,Not verified,Unknown,,1,56,4.6,343,343,0,0,0,0,2023-09-05 05:40:09,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-118,https://www.temporary123.com/equipment-rental/decontamination-trailers/,https://temporary123.com/equipment-rental/decontamination-trailers/,www.temporary123.com,https,/equipment-rental/decontamination-trailers/,Service/location candidate,Other,Unknown,301,Not verified,Unknown,,1,56,4.6,343,343,0,0,0,0,2023-09-05 05:40:09,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-119,https://www.temporary123.com/equipment-rental/dump-rental/,https://temporary123.com/equipment-rental/dump-rental/,www.temporary123.com,https,/equipment-rental/dump-rental/,Service/location candidate,Other,Unknown,301,Not verified,Unknown,,1,56,4.6,239,239,0,0,0,0,2023-09-05 05:40:09,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-120,https://www.temporary123.com/equipment-rental/generator-trailers/,https://temporary123.com/equipment-rental/generator-trailers/,www.temporary123.com,https,/equipment-rental/generator-trailers/,Service/location candidate,Other,Unknown,301,Not verified,Unknown,,1,56,4.6,239,239,0,0,0,0,2023-09-05 05:40:09,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-121,https://www.temporary123.com/equipment-rental/mobile-office-trailers/,https://temporary123.com/equipment-rental/mobile-office-trailers/,www.temporary123.com,https,/equipment-rental/mobile-office-trailers/,Service/location candidate,Other,Unknown,301,Not verified,Unknown,,1,56,4.6,343,343,0,0,0,0,2023-09-05 05:40:09,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-122,https://www.temporary123.com/equipment-rental/multi-trailer/,https://temporary123.com/equipment-rental/multi-trailer/,www.temporary123.com,https,/equipment-rental/multi-trailer/,Service/location candidate,Other,Unknown,301,Not verified,Unknown,,1,56,4.6,343,343,0,0,0,0,2023-09-05 05:40:09,2026-04-17 15:33:23,2,Unverified,C,Unresolved,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Repeated aggregate metrics; not proof of duplicate content,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
